LOCALITY,LOCALITY_TYPE,LOCALITY_ID,LATITUDE,LONGITUDE,STATE_CODE,Number_of_checklists
Nine Mile Creek Wetland,H,L6689569,41.506141,-81.519973,US-OH,76
Indian Knoll Farm Wetlands (formerly Brandywine Dr. Wetlands),H,L904555,39.9236264,-75.690372,US-PA,76
China Clay Road Wetland,H,L1496994,37.9954128,-78.9809318,US-VA,76
American Canyon Wetlands--Freshwater Restoration - N of Eucalyptus Rd.,H,L1590540,38.1821079,-122.2800364,US-CA,75
Owego Wetland Complex,H,L1861812,42.2820071,-96.1346525,US-IA,75
Smith Kingsman Rd. wetlands,H,L3082117,42.458897,-75.855804,US-NY,75
Killin Wetlands Nature Park,H,L7954716,45.6152532,-123.1532997,US-OR,75
Wolf Creek Wetlands,H,L2946690,38.0171843,-81.1113417,US-WV,75
Wetlands at Hwys 13 & 64,H,L7920300,40.022311,-107.954568,US-CO,74
43rd & 44th Street Wetlands,H,L4223305,27.8843771,-82.6900578,US-FL,74
LaCosta Urban Wetlands,H,L1312172,28.5258118,-81.3068211,US-FL,74
Timber Lake Rd. wetlands,H,L4529423,30.4804162,-86.6164497,US-FL,74
Kirk Field Wetland,H,L1131403,35.320973,-80.7307792,US-NC,74
"Columbus Rd. Wetlands - Athens US-OH (39.3478,-82.0973) 45701",P,L9199537,39.347845,-82.09732,US-OH,74
Bellmead Development Blvd Wetlands,H,L11769422,31.6076858,-97.100931,US-TX,74
Power Line Dr. wetlands,H,L11885115,42.6898977,-84.4730621,US-MI,73
"Wetlands Overlook at end of W 5th off Wallis, Eugene",P,L2336929,44.0540539,-123.1554463,US-OR,73
Seedskadee NWR--Hawley Wetland,H,L1188132,41.8904,-109.82612,US-WY,73
Sacramento NWR--Wetlands Walk,H,L4979024,39.4303614,-122.1886969,US-CA,72
Purina Plant Wetland,P,L2870363,36.516763,-79.7106439,US-NC,72
Ludlow Creek Tidal Wetlands,H,L9305924,40.7339953,-73.1254773,US-NY,72
Kent--72nd Ave. Wetlands,H,L12003399,47.4068298,-122.2432246,US-WA,72
Goetchius Wetland Preserve (FLLT)--Mary's Woods,H,L11373627,42.3808948,-76.3028211,US-NY,71
Woods Rd. Wetland (view from roadside only),H,L2266527,40.2520184,-84.6599579,US-OH,71
Black Rd. grasslands & wetlands,H,L2834620,44.2133162,-83.9055061,US-MI,70
Swetland Lane,P,L3607208,41.306395,-75.851074,US-PA,70
Blanca Wetlands (BLM),H,L560852,37.5594115,-105.695343,US-CO,69
Chester Wetlands,H,L1145057,44.0185621,-111.5833014,US-ID,69
Cache River State Natural Area--Michael Wolff Wetlands,H,L963358,37.344812,-88.9378023,US-IL,69
Delaware Wetland Mitigation Marsh,H,L2144767,40.289,-83.0381656,US-OH,69
Mayor Bob Leonard Park--Green Trail/Wetland,H,L1560934,35.8641622,-84.2266988,US-TN,69
S. Broadway St. wetlands,H,L4889694,40.739915,-124.204179,US-CA,68
MLK Jr. Wetland--South,H,L7608492,41.564273,-87.323408,US-IN,68
M-222 & 24th St. wetland,H,L10003791,42.5357218,-85.7839255,US-MI,68
Heckrodt Wetland Reserve,P,L7734949,44.2107831,-88.420488,US-WI,68
Cedar Swamp Wetland Conservation Area,H,L2128501,41.741488,-84.8920474,US-IN,67
private wetlands Johnson County,P,L2148536,38.8791404,-93.6322689,US-MO,67
Dillon Wildlife Area--Toboso Rd. Wetlands,H,L12265314,40.062,-82.219999,US-OH,67
Braves Stadium Heritage Trail and Wetlands,H,L4920181,34.2865387,-85.169717,US-GA,66
October Mountain SF--West Branch Rd. Wetland,H,L3811236,42.361158,-73.158344,US-MA,66
Tappan Wetland Mitigation Bank,H,L10993609,40.3645635,-81.2383092,US-OH,66
Jackson Bottom Wetlands Preserve--Duke Dr.,H,L13310186,45.5048,-122.9690167,US-OR,66
San Migel Rd./CR420 Wetlands/Lignite mine wetlands SE of Christine. TX,H,L2861066,28.6892328,-98.4630632,US-TX,66
Banning Lewis Ranch Retention Wetland,H,L8441991,38.9310633,-104.6711181,US-CO,65
Se7en Wetlands,H,L7859760,27.9142979,-81.9507414,US-FL,65
Collins wetland (private property),H,L11013835,41.892335,-93.328526,US-IA,65
OEHS Prairie Wetland Restoration,P,L2783794,41.6982427,-88.2820489,US-IL,65
Sac & Fox Wetlands (restricted access),H,L2714554,39.6993863,-95.7254112,US-KS,65
Ft. Indiantown Gap--A-21 Wetlands,H,L2159841,40.4247741,-76.5969023,US-PA,65
Belvidere Bog and Wetlands,H,L738995,44.7664806,-72.6144791,US-VT,65
Rail Trail Wetland -- Curlew Lake,H,L1502626,48.7727565,-118.647384,US-WA,65
Damonte Ranch Wetlands--Carat Pond,H,L3317907,39.4392772,-119.7194604,US-NV,64
Michigan River wetlands near Jackson CR 30,H,L5479886,40.6127145,-106.0859317,US-CO,64
ECUA Bayou Marcus Wetland,H,L291747,30.4445125,-87.3362488,US-FL,64
Fenwick-Hollowell Memorial Wetland Area,H,L1351997,36.3268996,-76.2173209,US-NC,64
"Paint Creek Recreational Trail--Robinson Rd. Trailhead, Shaw Wetlands",H,L2885082,39.52305,-83.3847,US-OH,64
Buckingham Wetlands,H,L504404,40.3207492,-75.060482,US-PA,64
Parker Branch Wetland,H,L2767501,35.93741,-88.8845813,US-TN,64
Aransas Pass--TX361 Wetlands (Nueces Co.),H,L562732,27.8795216,-97.0997858,US-TX,64
Plum Creek wetland at W Titan Rd,H,L3835719,39.5068221,-105.0254399,US-CO,63
Walnut Cove Wastewater Treatment Plant Wetland (Historical Only - Now Closed to Birders),H,L1428401,36.2944465,-80.1324209,US-NC,63
High Bar--Sunset Bvld. Dike and Wetlands,H,L161021,39.7663253,-74.120121,US-NJ,63
Whitetail Wetlands (restricted access),H,L675137,40.1575901,-78.614645,US-PA,63
Center Point Wetland,H,L9024312,42.1892971,-91.7990457,US-IA,62
Redwood Elementary School wetlands,H,L14610215,42.4271517,-123.3897474,US-OR,62
Quittapahilla Creek--Short/Birch Rd. Wetlands,H,L997860,40.3362185,-76.3906217,US-PA,62
Thomas Wetland,H,L267072,47.348753,-122.2438527,US-WA,62
"Clear Creek wetland, Darrington",H,L2093677,48.223959,-121.583422,US-WA,62
Clark County Wetlands Park--Bostick Weir,H,L6557904,36.0908362,-114.9685568,US-NV,61
Charbonneau Wetland,H,L9116092,47.8717172,-103.7764025,US-ND,61
"CA Sacramento, Cosumnes RP, Lost Slough Wetlands",P,L4050003,38.2697847,-121.4402331,US-CA,61
Whipps Mill Wetland,H,L6009078,38.2602921,-85.5834854,US-KY,61
Hiatt wetlands,H,L1476639,41.1323308,-100.7180621,US-NE,61
Herman Rd. wetlands,H,L1108700,42.5157265,-76.3355194,US-NY,61
Bliss Road Wetland,H,L1273544,42.2580434,-121.4896703,US-OR,61
Trinity River wetlands (SW Trinity Co.) (PPW-E 001),H,L781503,30.871988,-95.3897381,US-TX,61
Mountain View Rd. Wetland,H,L522133,46.7623279,-116.9711781,US-ID,60
Landslide Creek Wetlands,H,L5942940,45.0131207,-85.026103,US-MI,60
City of Columbia Wetland Cell #4,H,L2841263,38.9067638,-92.4324203,US-MO,60
"MSSU wetland  Joplin, Jasper County",P,L654656,36.9114703,-94.3203735,US-MO,60
Wetland at East Tyger Bridge Road,H,L997426,35.0386758,-82.3259747,US-SC,60
Yolo Basin Wetlands--Headquarters,H,L457247,38.556388,-121.6719317,US-CA,59
"San Miguel Co., NM, Las Vegas - NMHU Golf Course Wetland (Accessed from Comm. Center Parking lot)",H,L2315963,35.609614,-105.2125142,US-NM,59
Woods Road Wetland,P,L776136,40.2474328,-84.6584558,US-OH,59
Kuebler Industrial Park Wetlands,H,L17912989,44.887853,-122.969242,US-OR,59
Leon Co.--FM2485 wetlands area,H,L2789574,31.0905392,-95.9901638,US-TX,59
Muddy Creek Wetlands,H,L7209244,41.3186888,-107.7732182,US-WY,59
North Point SP--Wetlands Trail,H,L11536563,39.2142006,-76.4247608,US-MD,58
Hwy 93 Wetland Tribal Mitigation,H,L8218115,47.3399102,-114.097533,US-MT,58
TVA Wetlands Trails,H,L1007825,34.7653776,-87.6545691,US-AL,57
Sequoia Riverlands Trust--Herbert Wetland Prairie Preserve,H,L573580,36.1976031,-119.1994286,US-CA,57
Greenview Wetland (Private),P,L1158737,40.8904501,-89.4366074,US-IL,57
Harrison-Crawford State Forest--Wyandotte Wetlands,H,L757557,38.2209872,-86.3006544,US-IN,57
Cabot Dr. wetlands,H,L9025485,42.499748,-83.439779,US-MI,57
Wetlands east of Holden,P,L4079243,38.6973742,-93.9604855,US-MO,57
Thoms Road (wetland area),H,L11447262,38.488416,-77.846328,US-VA,57
Territorial Rd. Wetland,H,L12379698,42.7394799,-88.7656292,US-WI,57
Pfizer Saline Wetlands,H,L1741604,40.8333763,-96.7228556,US-NE,56
Sabbath Rest Wetland,H,L5738899,40.5639771,-78.3411928,US-PA,56
10 & 161 Wetland,H,L11796349,44.498358,-89.372251,US-WI,56
Ashton Wetlands,H,L1291187,38.6256384,-82.1580791,US-WV,56
Weiser Rd. wetlands,H,L4377511,41.8130914,-86.3013732,US-MI,55
US-OR-Eugene-EWEB wetlands from NW corner of parking lot - 44.0637x-123.1710,P,L4569469,44.063691,-123.170983,US-OR,55
Scott M. Matheson Wetlands Preserve,P,L1973116,38.5696428,-109.5556641,US-UT,55
"Meadow Brook wetland, Rt. 25, Sandwich",H,L11922648,43.8078397,-71.3543658,US-NH,54
Wayne National Forest--Greendale Wetland,H,L4684179,39.5451048,-82.2680819,US-OH,54
"Atoka, TN (wetland/floodplain)",P,L6945688,35.408594,-89.8086981,US-TN,54
Gary L. Slot Wetland,H,L4956213,41.510289,-112.103285,US-UT,54
Matheson Wetlands Preserve--Hwy 191 Overlook,H,L2108537,38.595868,-109.572635,US-UT,54
Kimmes-Tobin Wetlands (Douglas Co.),H,L1648135,46.5611971,-92.2762801,US-WI,54
Claymont Wetland,H,L1318251,39.2619317,-77.9052114,US-WV,54
Brush Creek Estuary/Wetlands,H,L845872,38.9707641,-123.711226,US-CA,53
Pine Creek Wetlands,H,L2698973,42.0727429,-85.2866936,US-MI,53
Portage Lake Wetlands,H,L1012921,44.3585921,-86.1963272,US-MI,53
Warner Wetlands,H,L11761726,40.8880544,-96.5867713,US-NE,53
Broadmoor Wetlands & Riparian,H,L6556199,45.5833198,-122.6281393,US-OR,53
Delaware Water Gap NRA--Dingmans Ferry Mitigation Wetland,H,L8337132,41.2027963,-74.8771836,US-PA,53
Hamilton Co.--CR211 wetlands,H,L4337796,31.7685658,-98.0868816,US-TX,53
Lake Mead NRA--Wetlands Trail,H,L2164481,36.1237241,-114.8999333,US-NV,52
Walnut Creek Wetland Center,H,L2466759,35.7603653,-78.624993,US-NC,52
Walnut Creek Trail--Wetland Center,H,L2393358,35.7596482,-78.6259881,US-NC,52
Coyote Springs Wetland (restricted access),H,L2919951,34.9985389,-106.4711306,US-NM,52
Guilford Street Wetland,P,L8929629,42.830959,-72.586448,US-VT,52
"William E. ""Bill"" Clark Presidential Park Wetlands",H,L1413364,34.7479834,-92.2604473,US-AR,51
Page wetlands,P,L3013301,47.5461764,-116.2025642,US-ID,51
Euclid Creek Reservation--Wildwood Stream and Wetland Restoration,H,L2484399,41.5854167,-81.5620297,US-OH,51
Copan WMA--Tallgrass Wetlands,H,L2556449,36.955379,-95.9806824,US-OK,51
"CR140/Kenny Lane Wetlands, Ingleside",H,L8668835,27.8719016,-97.1668105,US-TX,51
Showare Token Wetland,P,L3441459,47.3895465,-122.239337,US-WA,51
Gardena Willows Wetland Preserve (Limited Access),H,L688896,33.8744598,-118.2919621,US-CA,50
"Clayton County Water Authority, Treatment Wetlands, Site A-4, permit required",P,L1527329,33.4835513,-84.2886841,US-GA,50
Biller Wetland,H,L3546172,37.0644,-95.10087,US-KS,50
Division Dr wetland,P,L2674055,42.2465877,-84.789176,US-MI,50
Washburn Wetland,H,L5831090,36.607077,-93.9023867,US-MO,50
Maddox Creek Wetland Loop,P,L5924056,48.4114283,-122.30268,US-WA,50
Rio Grande wetland (Alamosa),H,L2259323,37.480027,-105.8635497,US-CO,49
"Ocala Wetland Recharge Park 2201 Northwest 21st Street, Ocala, Florida, US (29.211, -82.16)",P,L6487114,29.2114161,-82.1597726,US-FL,49
Colleg of Southern Idaho Wetlands,H,L2733269,42.5862924,-114.4690794,US-ID,49
2553 N.100W./Madison Ave Wetlands-N. of Cross St,P,L10939745,40.1436394,-85.6900236,US-IN,49
Highway 116 Wetlands,H,L14987276,39.5556085,-94.6683501,US-MO,49
"Columbia Creek Wetland, Westlake Park-n-Ride",H,L2666301,41.4766348,-81.8997925,US-OH,49
SW Nicol Rd/SW Vermont St Wetlands,P,L3182342,45.4772177,-122.7555485,US-OR,49
Oxford Walmart Wetlands,H,L6987041,39.7958002,-75.980959,US-PA,49
Philipsburg Wetlands,H,L11339782,40.9011724,-78.2320336,US-PA,49
Bina Wetland DOT,H,L340498,45.1842758,-89.2724551,US-WI,49
Pennsylvania St. wetland,H,L4675266,43.190056,-88.519481,US-WI,49
WST Cranston Bikepath at Meshanticut Brook (wetland),P,L13283087,41.7385581,-71.4818511,US-RI,48
"Robin Meadow Wetland Robin Drive, Frederick, Maryland, US (39.37, -77.428)",P,L7837041,39.3704696,-77.427914,US-MD,48
Wetland at Wabasis Creek and 12 Mile Rd.,H,L984503,43.1472584,-85.3972435,US-MI,48
Winchuck Wetlands,H,L3632105,42.0036674,-124.1977143,US-OR,48
Dunning Creek Wetlands,P,L3528705,40.1603998,-78.6142731,US-PA,48
Green River--Killdeer Wetlands,H,L2330183,41.5299915,-109.4792587,US-WY,48
KER--Hot Springs Valley Wetlands Project 189.26 acres,P,L3982450,35.6191044,-118.4809594,US-CA,47
"164 Wandering Wetlands Cir, Bradenton US-FL (27.5054,-82.4722)",P,L7941882,27.505367,-82.47216,US-FL,47
Tollgate Wetlands,P,L7346426,42.7467601,-84.5218992,US-MI,47
Millersburg Wetland,H,L11842438,44.428626,-93.313261,US-MN,47
Fernhill Wetlands,P,L140257,45.5069542,-123.0868073,US-OR,47
Wetlands Hwy 131 Simmons Flat,P,L1129249,43.5419536,-90.6637287,US-WI,47
Ivy Creek Wetland,H,L6093085,31.698137,-86.373498,US-AL,46
Hidden Springs--Wetland,H,L992162,43.72182,-116.25101,US-ID,46
Blackhoof Park / Lenexa Wetlands,P,L420549,38.96358,-94.8432541,US-KS,46
Patuxent Wetlands Park,H,L509833,38.811381,-76.7104858,US-MD,46
Niles Greenway--Wetlands Area,H,L9630763,41.1640437,-80.765698,US-OH,46
Driver Rd. Wetland,H,L2256059,45.208408,-121.2516403,US-OR,46
Raccoon Creek SP--Wetlands Trail,H,L2961269,40.5100144,-80.4395127,US-PA,46
Weaverville Basin Wetlands,H,L773969,40.71217,-122.92995,US-CA,45
Bayou Black Wetlands,H,L1312212,29.6128019,-90.7619312,US-LA,45
"Chelsea Rd. and Bloomfield Ave., wetlands",H,L958539,40.6130955,-74.187672,US-NY,45
Doris Hassler Davis Memorial Pond and Wetland,H,L2742078,45.7265895,-123.9410543,US-OR,45
Grant Butte Wetlands,P,L3360744,45.4985079,-122.4605173,US-OR,45
Polk Wetlands,H,L1004884,41.3636041,-79.9109459,US-PA,45
Hwy 11 wetland by Cadiz Springs,P,L2176658,42.5878456,-89.7821617,US-WI,45
Long Creek Wetlands,H,L845045,33.8296421,-83.0873466,US-GA,44
McPherson Valley Wetlands WA--Big Basin Marshes,H,L3869668,38.3837185,-97.7498245,US-KS,44
Isabel Wetland WA,H,L2525505,37.4955117,-98.5402393,US-KS,44
Olson Wetland Restoration,H,L6138317,45.353615,-95.1563215,US-MN,44
Wetlands Institute,P,L833057,39.1052881,-74.7338104,US-NJ,44
Quincy Bluff and Wetlands SNA--14th Ct.,H,L11760775,43.865849,-89.8429701,US-WI,44
US 48 Overlook Wetlands,H,L10390853,39.141812,-78.982609,US-WV,44
Wetlands south-east of Novato community Hospital-may include Novato Creek back to Highway 101,P,L9027752,38.0984726,-122.5570205,US-CA,43
US-CA-Kern--Lake Isabella--Hot Springs Valley Wetlands Project--189.26 acres,H,L4452098,35.620273,-118.480578,US-CA,43
King's Lake and wetland,P,L7906228,28.9086617,-81.3097384,US-FL,43
Bottom Rd. Wetland Mitigation Area,H,L4351315,39.2385729,-86.5418279,US-IN,43
Jug Bay Wetlands Sanctuary--Nature Center,H,L15671502,38.7848664,-76.7011142,US-MD,43
Shelby Black Fork Wetlands,H,L8558055,40.909695,-82.655765,US-OH,43
Mallard's Rest Wetlands,H,L2503679,40.1574917,-79.0422535,US-PA,43
Floral Park Wetlands and Ponds,P,L3607844,38.7038147,-76.9614816,US-MD,42
Buffalo Pond/AB Ave. E. wetland,H,L10113812,42.4125736,-85.4857651,US-MI,42
CR 27 Wetland--Shorebird/Wader Location,H,L6087969,45.2088011,-95.1484251,US-MN,42
West Sundial Wetlands,H,L10303263,45.5584752,-122.4325848,US-OR,42
Springbrook Creek Wetland,H,L745785,47.4545187,-122.2274709,US-WA,42
Gog Le Hi Te Wetlands Park,P,L1032564,47.2515918,-122.4103117,US-WA,42
Beaver Valley  Wetlands,H,L513211,42.5795037,-92.510376,US-IA,41
Milford WA--Steve Lloyd Wetlands,H,L972446,39.2566649,-97.0144379,US-KS,41
Lowber Wetlands,H,L6198876,40.250531,-79.764138,US-PA,41
Weslaco Wetlands (LTC 056),H,L498121,26.1781631,-97.9788637,US-TX,41
Old Colony wetland,P,L3725155,38.7193459,-77.1312064,US-VA,41
UW Bothell Campus/Wetlands,H,L4459032,47.7605475,-122.1888917,US-WA,41
Los Cerritos Wetlands--Steam Shovel Slough,H,L1783992,33.7642392,-118.1108363,US-CA,40
"West Hills College: campus, wetlands and fields",H,L1737424,36.2926609,-119.8292971,US-CA,40
Georgia Lane Wetland,P,L2588424,34.0473726,-84.2839162,US-GA,40
Clear Creek Regional Wetlands,H,L6153735,38.9683353,-94.8677105,US-KS,40
Forty Arpent Wetlands Observatory,H,L4487966,29.9656832,-89.9772924,US-LA,40
Wetland west of Hotel Ave.,H,L987572,42.905111,-85.5420345,US-MI,40
King's Highway Wetlands,H,L4647742,45.6845539,-85.5266571,US-MI,40
"Dutchess Rail Trail - Wetlands, Arlington, New York, US (41.689, -73.877)",P,L11428934,41.6885829,-73.8765667,US-NY,40
Chatterton Wetland,H,L753584,39.9085446,-82.846261,US-OH,40
Hockhocking Adena Bikeway--Hamley Run Wetlands,H,L1835769,39.3866886,-82.1515086,US-OH,40
Penn State DuBois Wetland,H,L1985448,41.1251735,-78.7506504,US-PA,40
Snag Pond/Wetland,H,L4194927,41.2486024,-75.4511243,US-PA,40
Short Creek Wetland,H,L10854795,35.41814,-84.80565,US-TN,40
Kuhni Wetlands--Mystery Lake,H,L905341,40.2007317,-111.629988,US-UT,40
"Portneuf River wetlands, W Siphon Rd",P,L5049907,42.9350475,-112.5431253,US-ID,39
"Jugbay Wetlands Sanctuary 1361 Wrighton Rd, Lothian US-MD (38.7846,-76.7027)",P,L9013008,38.7846,-76.702684,US-MD,39
Brown Rd. & Sibley Rd. wetlands,H,L4962983,42.4035821,-84.6255827,US-MI,39
Beaver Creek Wetland Nature Reserve,H,L12981165,39.7171587,-84.0072064,US-OH,39
Northeastern State University Wetlands,H,L17468984,36.0224802,-95.7472423,US-OK,39
Port Orford--Wetland Interpretive Walkway,H,L1507396,42.7515942,-124.4981642,US-OR,39
IRWD Wetland Area - Quail Hill,P,L3232799,33.6571086,-117.7808967,US-CA,38
Bufferlands--Constructed Wetlands (limited access),P,L1401749,38.4555313,-121.4515448,US-CA,38
Mallard Roost Wetland Conservation Area--Public Access 2,H,L9798554,41.4382057,-85.504221,US-IN,38
Grawn Wetlands,P,L2108384,44.6635252,-85.713594,US-MI,38
"Hayes Road Wetland, (Private Property) Monroe, North Carolina, US (35.043, -80.627)",P,L14430645,35.0432076,-80.6273665,US-NC,38
Cashie Wetlands Walk/Zoo,H,L2894532,35.9991771,-76.9450074,US-NC,38
Berkeley Park and wetlands,P,L7586130,35.3486657,-82.467252,US-NC,38
Carson NF--Rio Grande del Rancho Wetlands,H,L1253384,36.252921,-105.57938,US-NM,38
Battelle Darby Creek Metro Park--Race Track Wetlands,H,L2431769,39.9436865,-83.2243109,US-OH,38
Thompson Bay Wetland,P,L3842686,42.169061,-80.085945,US-PA,38
Horne Wetlands Park,H,L3594567,33.4843085,-80.8729416,US-SC,38
"Wilderness Road Ponds/Wetlands, Reva, Virginia, US (38.45, -78.185)",P,L11295482,38.4496888,-78.1851741,US-VA,38
Loudoun County Wetlands and Stream Bank Phase III,H,L1086529,39.0439861,-77.4483776,US-VA,38
French Rd x Cultus Bay Rd wetland,H,L8964685,47.9580835,-122.3957399,US-WA,38
Keller Farm Wetland,H,L14306932,47.679903,-122.097942,US-WA,38
Genesee Sewage Lagoon Wetland Area (Latah County),P,L1514761,46.5427074,-116.9404358,US-ID,37
"River Road near grassy wetland, SW of Greenup",P,L11549675,39.2278614,-88.182619,US-IL,37
USGS Wetland and Aquatic Research Center (formerly NWRC),P,L4400573,30.2249098,-92.0441008,US-LA,37
Woodmender/Wetland/(private),P,L6368169,39.1414393,-76.1105829,US-MD,37
Wharton SF--Pump Branch wetland,H,L6247883,39.6973473,-74.8300374,US-NJ,37
Valle de Oro NWR--Wetland Walking Path,H,L9719771,34.975669,-106.672479,US-NM,37
Vassar Farm and Ecological Preserve--Wetlands Trails,H,L11058586,41.6644671,-73.9000055,US-NY,37
Oysterponds Creek Wetlands,H,L7950695,41.1420794,-72.3128975,US-NY,37
Coonrod Rd. Wetlands,H,L275521,41.4217934,-83.0261692,US-OH,37
Corbandale Bottoms & Wetland,P,L1336899,36.4491509,-87.5332246,US-TN,37
Utah Lake Wetland Preserve -- Goshen Bay,H,L1515801,40.0096929,-111.9096586,US-UT,37
Richland Co. Rockbridge north wetlands,P,L839634,43.4540653,-90.3590441,US-WI,37
Seedskadee NWR--Hamp Wetland,H,L1188124,41.92192,-109.87823,US-WY,37
57th St. N Wetland (McHenry Co.),H,L935173,48.2397176,-100.7254422,US-ND,36
Eastern Municpal Water District wetlands,H,L2467309,33.7976049,-117.0198011,US-CA,36
Lake Hancock Outfall Wetland,H,L2408551,27.9386349,-81.8323946,US-FL,36
Reeves Creek Pond and Wetlands,H,L1258597,33.5304139,-84.2383808,US-GA,36
Zimmerman Wetlands,P,L1407248,39.1290435,-86.1564033,US-IN,36
Saddle Club Road Wetlands,H,L14700363,39.546249,-86.172796,US-IN,36
Garber Rd. wetlands,H,L1937380,41.8817031,-85.672392,US-MI,36
Mase Cold Spring Wetlands Preserve,H,L6054040,42.4096658,-74.6084779,US-NY,36
Center St./Mason Wetlands,H,L1057726,45.4941647,-122.7976656,US-OR,36
North Pikes Creek Wetlands,H,L2870723,46.8566069,-90.8672333,US-WI,36
Army Reserve Center Wetlands,H,L10529004,39.4494548,-79.6754962,US-WV,36
Glendo SP--Wetlands Trail,H,L2175613,42.4772247,-104.9381018,US-WY,36
Soldier Creek Road Wetland and Bobolink Spot,H,L10122913,43.3798816,-114.7866177,US-ID,35
"Wetlands Preserve, Freeport",H,L5781493,42.3128494,-89.6348033,US-IL,35
wetland 295,P,L3013173,38.799584,-77.0176363,US-MD,35
Linn Road Wetland,P,L1245129,42.6737275,-84.2770243,US-MI,35
Puritas Wetland,H,L857737,41.4287309,-81.7938137,US-OH,35
Bellfountain wetland,P,L1053482,44.50226,-123.339901,US-OR,35
South Texas Power Prairie Wetlands (CTC 006),H,L603734,28.8047445,-96.0377598,US-TX,35
"Tracy Road wetland, South Hero",P,L3053765,44.6455746,-73.314836,US-VT,35
South County Bike Path--Larkin Pond Road Wetland,H,L1484375,41.4670284,-71.5489978,US-RI,34
Haserway Wetland Management Area,H,L11096416,33.8161181,-89.7781055,US-MS,34
Edgewater seasonal wetland,H,L5568510,37.7507313,-122.2094679,US-CA,34
Ridgway Secret Wetland,P,L10126983,38.151979,-107.751636,US-CO,34
"Leeder Hill Road and adjacent wetlands, Hamden",P,L3146934,41.3513312,-72.92274,US-CT,34
Atherton Wetland,H,L5650966,41.845684,-91.5604877,US-IA,34
Two Rivers NWR--Calhoun Wetlands,H,L993062,38.9257298,-90.5223656,US-IL,34
Undeveloped Woodland/Wetland - SouthEast Section,P,L5703052,41.2406016,-85.8640927,US-IN,34
Meadow Brook wetland,P,L5749571,43.8076725,-71.3539817,US-NH,34
Worthley Rd. wetland,H,L2198281,42.8638214,-70.8468899,US-NH,34
Chambers Wetland,H,L1520885,40.3264201,-81.0121997,US-OH,34
Miami Wetlands Preserve,H,L8433839,45.5636187,-123.8895858,US-OR,34
Willow Rd. Wetland,H,L686713,40.0562967,-76.2333155,US-PA,34
Santo Domingo Wetlands,H,L1490109,40.1665942,-76.3038009,US-PA,34
Pomfret Road Wetlands,H,L2116349,43.6457649,-72.5255585,US-VT,34
Leetown Science Center Wetland (restricted access),H,L12013923,39.347727,-77.928897,US-WV,34
"Hwy 17 Wetland, Millport",H,L5980331,33.5803745,-88.0842805,US-AL,33
Holub Greenhouse wetland (private property),H,L3920848,42.0329802,-93.5403764,US-IA,33
Arispie Lake Wetland,P,L6342517,41.307713,-89.410715,US-IL,33
"Derksen Farm and Wetlands, Borkholder Environmental Center",H,L7428340,41.4549056,-85.9839378,US-IN,33
John Craddock Wetland Nature Preserve,H,L3098057,40.196286,-85.364719,US-IN,33
Wasthenaw Co. Steinbach Road field/wetland Lima Sec. 11 SE,P,L3818433,42.3144171,-83.9191157,US-MI,33
SMSC Wastewater Effluent Wetland,P,L10174833,44.724328,-93.473029,US-MN,33
Pumpkin Creek wetland at Hwys 71/88 junction,H,L11004576,41.6416844,-103.677245,US-NE,33
Butler County wetland at M Road & 33 Road.,P,L5080399,41.2205023,-97.1374226,US-NE,33
Colon area wetlands on S and T Roads,P,L5056966,41.3210095,-96.5960884,US-NE,33
Maple Ave. wetlands,H,L5862782,43.309316,-76.3676137,US-NY,33
Duff-Washa Rd. Wetland,H,L2953568,41.5873421,-83.1745505,US-OH,33
Highbanks Metro Park--Wetland Blind,H,L3985745,40.13854,-83.02427,US-OH,33
Happel’s Meadow Wetland Preserve,H,L11446010,39.7314825,-77.4771835,US-PA,33
Swamp Hollow Wetlands,P,L5488606,39.9647374,-78.9149237,US-PA,33
Cheney Wetlands,H,L15250554,47.4851026,-117.5542812,US-WA,33
Baileys Harbor Boreal Forest And Wetlands SNA,H,L3624392,45.0939589,-87.0552778,US-WI,33
Clark County Wetlands Park-Sunrise Mountain Weir,P,L7006927,36.0888524,-114.9890256,US-NV,32
(LG)Lincoln Hills Town Center Wetlands,P,L4192994,38.876863,-121.29462,US-CA,32
Viansa Winery and wetlands,H,L991783,38.2081741,-122.4514461,US-CA,32
American Canyon Wetlands--west of Wetlands Edge Rd.,H,L1590544,38.1708796,-122.2763731,US-CA,32
Yampa River SWA--Wetlands,H,L902167,40.5131711,-107.3906761,US-CO,32
Doral West of Turnpike 2019 Restored Wetlands,H,L10267353,25.801593,-80.391867,US-FL,32
Wetland southwest of Bob Pyle Marsh (private property),H,L11435804,42.203244,-93.678566,US-IA,32
Fillmore St. wetlands (private property),H,L4842942,41.4324583,-93.7626659,US-IA,32
Bailey Wetlands (Wayne Co.),H,L2591136,38.594401,-88.1710768,US-IL,32
Mallard Roost Wetland Conservation Area--Co. Rd. 400W,H,L9798775,41.4438069,-85.5003164,US-IN,32
Cheltenham Wetlands Park,H,L819858,38.7482137,-76.8458971,US-MD,32
79th Ave. and 62nd St. wetland,H,L9635309,42.1323468,-86.1470047,US-MI,32
Greenpointe Wetlands,P,L8868724,42.5316476,-83.4235061,US-MI,32
Birge Nature Preserve--Woodland Trail and Northern Wetlands,H,L3694104,46.0064712,-84.473995,US-MI,32
